Id,Sample,Prediction
515,воспитать тре,воспитать трех
516,испуганным любопытств,испуганным любопытством
517,разбить ем,разбить ему
518,при мн,при мне
519,позы всег,позы всего
520,квартира отвор,квартира отворена
521,того те,того теперь
522,свой перев,свой перевод
523,что бе,что без
524,раздраженном оживл,раздраженном оживлении
525,равнодушно переб,равнодушно перебил
526,разыгралась тепе,разыгралась теперь
527,откоса жарки,откоса жаркие
528,сами выби,сами выбирают
529,его взо,его взором
530,мотал кист,мотал кисточку
531,день коф,день кофе
532,тятька когд,тятька когда
533,для чег,для чего
534,проиграл ст,проиграл сто
535,потом выв,потом вывезти
536,него знакомы,него знакомым
537,понимаю люб,понимаю любви
538,нужны бы,нужны были
539,соблюдения пр,соблюдения при
540,время ср,время сражения
541,дальней ст,дальней стены
542,перевезу ег,перевезу его
543,этом см,этом смехе
544,более тог,более того
545,заказать завтра,заказать завтрак
546,смотрел чуто,смотрел чуточку
547,она бы,она была
548,что кн,что князь
549,были об,были оба
550,правосудия являлос,правосудия являлось
551,нему ст,нему стрелецкий
552,непременно бы,непременно были
553,ртом прогов,ртом проговорил
554,стоить восе,стоить восемьсот
555,одной сто,одной стороны
556,всю но,всю ночь
557,еще ник,еще никогда
558,буду ра,буду раньше
559,повторил эт,повторил эту
560,были мохнат,были мохнатые
561,адъютант тще,адъютант тщетно
562,другие св,другие свои
563,соседнего озе,соседнего озера
564,осмотрела вс,осмотрела все
565,профессий был,профессий было
566,семье гораз,семье гораздо
567,решили выяс,решили выяснить
568,что да,что дамы
569,плат меж,плат между
570,ночной че,ночной чепец
571,третий пр,третий пришел
572,был сп,был способен
573,тот те,тот темно
574,для исто,для истории
575,крыльце свиделас,крыльце свиделась
576,принес мн,принес мне
577,мой подзащитны,мой подзащитный
578,плыла мим,плыла мимо
579,руки нескол,руки нескольким
580,искалеченной суд,искалеченной судьбе
581,когда оте,когда отечество
582,днях ку,днях курфюрст
583,чтобы матер,чтобы матери
584,после пад,после падения
585,старого обезд,старого обездоленного
586,ложечкой ча,ложечкой чай
587,движением серд,движением сердца
588,одно огнищ,одно огнище
589,судебные пр,судебные пристава
590,стоим пер,стоим перед
591,руками подня,руками поднял
592,белье ег,белье его
593,почему не,почему нейдем
594,горючее вещ,горючее вещество
595,заслонили друг,заслонили другие
596,обмером бицепс,обмером бицепсов
597,люди выс,люди выслушают
598,конце мар,конце марта
599,себе отдел,себе отдельное
600,держали се,держали себя
601,всем мол,всем молодым
602,отзывались ка,отзывались как
603,жесте бы,жесте было
604,что теб,что тебе
605,только др,только друг
606,точно опред,точно определен
607,это баг,это багровое
608,нанимать мусь,нанимать мусье
609,ходила отдель,ходила отдельным
610,поверка оказалас,поверка оказалась
611,которое самом,которое самому
612,должен передат,должен передать
613,такой им,такой именно
614,существовало даж,существовало даже
615,мне каж,мне кажется
616,как тол,как только
617,либо беж,либо бежать
618,одна карти,одна картина
619,мне эт,мне это
620,веселый како,веселый какой
621,злостью покосилс,злостью покосился
622,учение римск,учение римской
623,при перв,при первом
624,позволить тольк,позволить только
625,пойти туд,пойти туда
626,иль сра,иль сразу
627,подобной од,подобной одежде
628,набит чуж,набит чужой
629,иметь си,иметь сильного
630,которого собралос,которого собралось
631,быстрые ша,быстрые шаги
632,своих управляющи,своих управляющих
633,себя оскорбле,себя оскорбленным
634,совсем неда,совсем недавно
635,население арми,население армии
636,все эт,все эти
637,наград послан,наград послано
638,положили кол,положили колоду
639,явился стары,явился старый
640,слышал скр,слышал скрып
641,вследствие че,вследствие чего
642,пить коф,пить кофе
643,комната бе,комната без
644,меня ле,меня легко
645,сколько бы,сколько было
646,попросил мист,попросил мистер
647,бороду кр,бороду красил
648,выводите ме,выводите меня
649,что это,что этот
650,без те,без тебя
651,такая потребност,такая потребность
652,тем вс,тем все
653,способ до,способ добыть
654,известия бы,известия была
655,еще ор,еще орет
656,смуглый ев,смуглый евнух
657,фабрике ве,фабрике вел
658,чистосердечным об,чистосердечным объяснением
659,когда снар,когда снаряды
660,того ка,того как
661,она был,она была
662,обманываете ме,обманываете меня
663,менее он,менее она
664,громкими призыва,громкими призывами
665,дорожные уз,дорожные узлы
666,зеленью прижмурен,зеленью прижмуренных
667,здание до,здание допотопной
668,рассказал ем,рассказал ему
669,его старог,его старого
670,него ше,него шел
671,спал на,спал над
672,печален свист,печален свисток
673,жизни да,жизни давно
674,стал целов,стал целовать
675,босыми ногам,босыми ногами
676,бочки подсажи,бочки подсаживали
677,нее ещ,нее еще
678,сих по,сих пор
679,даже смеш,даже смешною
680,генерала фанат,генерала фанатиком
681,освещает ег,освещает его
682,совсем близ,совсем близко
683,больше соответствуе,больше соответствует
684,дали голу,дали голубой
685,подобает прен,подобает пренебрегать
686,нему благода,нему благодарность
687,каштановыми воло,каштановыми волосами
688,место старше,место старшего
689,моей голово,моей головой
690,его руков,его руководствуется
691,какого мо,какого момента
692,церквах шл,церквах шла
693,это бы,это бывает
694,застонали убоги,застонали убогие
695,раскаянию лука,раскаянию лукавых
696,это объясни,это объяснить
697,женщине не,женщине нет
698,ему ден,ему денщик
699,уже боль,уже больше
700,намерен эт,намерен это
701,рассеять уныни,рассеять уныние
702,более при,более привлекательном
703,яблоко упа,яблоко упало
704,году ис,году истина
705,лицо ка,лицо какого
706,охотно высказывал,охотно высказывали
707,страстей иска,страстей искал
708,четыре год,четыре года
709,пропела св,пропела свою
710,стали пе,стали перегонять
711,молодая особ,молодая особа
712,есть толь,есть только
713,совершенно нов,совершенно новою
714,представителям обличите,представителям обличительного
715,находилась ря,находилась рядом
716,оглядывая сво,оглядывая свое
717,командир вздрагив,командир вздрагивал
718,чтобы польстит,чтобы польстить
719,родила ещ,родила еще
720,ему та,ему так
721,это продолжал,это продолжалось
722,площадке лестниц,площадке лестницы
723,той парт,той партии
724,энергическим же,энергическим жестом
725,кончится уч,кончится учебный
726,сизой тр,сизой траве
727,частью стар,частью стараются
728,векселя сроко,векселя сроком
729,задок подни,задок поднимал
730,что уго,что угодно
731,сверкающую поло,сверкающую полоску
732,того что,того чтобы
733,как дожде,как дождемся
734,должна бы,должна была
735,форменная ку,форменная куртка
736,буду сп,буду спешить
737,которую не,которую нес
738,чувствует все,чувствует всей
739,выражение лиц,выражение лица
740,легко проберет,легко проберетесь
741,украшавшие ве,украшавшие верх
742,устроенным ме,устроенным между
743,пропадаешь вс,пропадаешь все
744,застывшим чугунн,застывшим чугунным
745,которая бы,которая была
746,учти ег,учти его
747,пока пр,пока проезжал
748,хорошо осушенны,хорошо осушенный
749,беда та,беда так
750,там вс,там все
751,был до,был домашним
752,разорвались сот,разорвались сотни
753,холодным вечер,холодным вечером
754,кругах он,кругах они
755,который присове,который присоветовал
756,страдания глубок,страдания глубоко
757,сны дура,сны дурацкие
758,получу немал,получу немало
759,самом де,самом дело
760,что вс,что все
761,разумных прич,разумных причин
762,три четвертк,три четвертки
763,приходило ос,приходило основаться
764,все яс,все яснее
765,оттеснил войс,оттеснил войска
766,жизни до,жизни донского
767,выступали он,выступали они
768,ним последо,ним последовал
769,этими две,этими дверями
770,оранжереи сюд,оранжереи сюда
771,радостно встрече,радостно встреченный
772,сжимая ег,сжимая его
773,был мн,был мне
774,прижав ло,прижав локти
775,пытался воз,пытался возвратиться
776,так ка,так как
777,все пр,все про
778,оперативных тыла,оперативных тылах
779,армейском ты,армейском тылу
780,степенью способно,степенью способности
781,мужеский по,мужеский пол
782,топнул сапогам,топнул сапогами
783,другой бр,другой бритый
784,участниках од,участниках один
785,вторая любов,вторая любовь
786,давно пригот,давно приготовлены
787,сгорал нетерп,сгорал нетерпением
788,два ра,два раза
789,так мал,так мало
790,чувства независи,чувства независимости
791,невольно продолжа,невольно продолжал
792,наступила стр,наступила страшная
793,потом кажды,потом каждый
794,стороны длинног,стороны длинного
795,презрительно скрив,презрительно скривив
796,становился са,становился самой
797,которых сыпала,которых сыпалась
798,все вд,все вдову
799,под ни,под ним
800,канавки дежурил,канавки дежурили
801,взгляд воз,взгляд возбудил
802,трюмы парохо,трюмы пароходов
803,штуки откалыва,штуки откалывает
804,остальные проме,остальные промежуточные
805,старалась запечатлет,старалась запечатлеть
806,неисчислимых общи,неисчислимых общих
807,давал бол,давал более
808,запять ну,запять нужные
809,приключиться никак,приключиться никакой
810,все эт,все это
811,жгли луч,жгли лучины
812,наивных ска,наивных сказках
813,только вст,только вступление
